year,line,station,total_passenger,daily_avg_passenger
2020,일산선,삼송,10402692,28422
2020,장항선,온양온천,2259532,6173
2020,중앙선,회기,14070539,38444
2021,1호선,서울역,24699002,67668
2021,2호선,강남,48316992,132375
2021,3호선,고속터미널,26282879,72007
2021,4호선,수유(강북구청),20729240,56792
2021,5호선,까치산,17324210,47463
2021,6호선,응암,10638719,29147
2021,7호선,가산디지털단지,25568604,70050
2021,8호선,문정,12455065,34123
2021,9호선,신논현,18775669,51440
2021,9호선2~3단계,봉은사,9366899,25662
2021,경강선,경기광주,4222636,11568
2021,경부선,영등포,24369749,66766
2021,경원선,의정부,11763880,32229
2021,경의선,일산,5540986,15180
2021,경인선,부천,20655347,56589
2021,경춘선,평내호평,3764890,10314
2021,공항철도 1호선,디지털미디어시티,7221939,19786
2021,과천선,범계,15365309,42096
2021,분당선,야탑,15568995,42654
2021,수인선,소래포구,3629316,9943
2021,안산선,중앙,11081503,30360
2021,우이신설선,북한산보국문,3550850,9728
2021,일산선,삼송,11148873,30544
2021,장항선,온양온천,2395604,6563
2021,중앙선,회기,14549292,39861
2022,1호선,서울역,30683249,84063
2022,2호선,강남,51764650,141820
2022,3호선,고속터미널,31374194,85956
2022,4호선,혜화,23191746,63539
2022,5호선,광화문(세종문화회관),20058532,54954
2022,6호선,응암,11386170,31194
2022,7호선,가산디지털단지,25860862,70851
2022,8호선,문정,13079648,35834
2022,9호선,신논현,20319369,55669
2022,9호선2~3단계,봉은사,11885980,32564
2022,경강선,경기광주,5045472,13823
2022,경부선,영등포,28121507,77045
2022,경원선,의정부,13154188,36038
2022,경의선,일산,6168499,16899
2022,경인선,부천,22091950,60525
2022,경춘선,평내호평,4123141,11296
2022,공항철도 1호선,디지털미디어시티,8180845,22413
2022,과천선,범계,17351880,47539
2022,분당선,야탑,17400732,47673
2022,수인선,인하대,4183278,11461
2022,신림선,서울대벤처타운,2843832,13045
2022,안산선,중앙,12652053,34663
2022,우이신설선,북한산보국문,3996054,10948
2022,일산선,삼송,12768393,34981
2022,장항선,온양온천,2932273,8033
2022,중앙선,회기,17019048,46627
2025,1호선,서울역,50793111,139159
2025,2호선,잠실(송파구청),57378276,157200
2025,3호선,고속터미널,36313477,99488
2025,4호선,명동,27401016,75071
2025,5호선,광화문(세종문화회관),24412244,66882
2025,6호선,공덕,12920279,35398
2025,7호선,가산디지털단지,27712782,75925
2025,8호선,문정,15178151,41583
2025,9호선,신논현,22403524,61379
2025,9호선2~3단계,봉은사,16210188,44411
2025,경강선,경기광주,5421409,14853
2025,경부선,용산,32881110,90085
2025,경원선,의정부,13984373,38313
