year,line,station,total_passenger
2022,우이신설선,북한산보국문,3996054
2022,일산선,삼송,12768393
2022,장항선,온양온천,2932273
2022,중앙선,회기,17019048
2025,1호선,서울역,39181720
2025,2호선,잠실(송파구청),44058685
2025,3호선,고속터미널,27728447
2025,4호선,명동,21208761
2025,5호선,광화문(세종문화회관),18462281
2025,6호선,공덕,9809455
2025,7호선,가산디지털단지,21080258
2025,8호선,문정,11510880
2025,9호선,신논현,16945316
2025,9호선2~3단계,봉은사,12601413
2025,경강선,경기광주,4160537
2025,경부선,용산,25313717
2025,경원선,의정부,10667403
2025,경의선,일산,5656486
2025,경인선,부천,17135190
2025,경춘선,평내호평,3382021
2025,공항철도 1호선,홍대입구,8705198
2025,과천선,범계,15302574
2025,분당선,야탑,13763070
2025,서해선,원종,2707518
2025,수인선,인하대,3782280
2025,신림선,서울대벤처타운,5210828
2025,안산선,중앙,10335750
2025,우이신설선,북한산보국문,3335796
2025,일산선,삼송,10246856
2025,장항선,온양온천,2787484
2025,중앙선,회기,14408348
2026,1호선,서울역,17752983
2026,2호선,잠실(송파구청),19280533
2026,3호선,고속터미널,11913505
2026,4호선,명동,9236383
2026,5호선,광화문(세종문화회관),8044045
2026,6호선,공덕,4345214
2026,7호선,가산디지털단지,9385103
2026,8호선,잠실(송파구청),5241620
2026,9호선,신논현,7555293
2026,9호선2~3단계,봉은사,5451974
2026,경강선,경기광주,1857489
2026,경부선,용산,11489554
2026,경원선,의정부,4635829
2026,경의선,일산,2375952
2026,경인선,부천,7497769
2026,경춘선,평내호평,1478301
2026,공항철도 1호선,홍대입구,3938396
2026,과천선,범계,6758905
2026,분당선,야탑,6117483
2026,서해선,원종,1210081
2026,수인선,인하대,1654748
2026,신림선,서울대벤처타운,2312884
2026,안산선,중앙,4531030
2026,우이신설선,북한산보국문,1446640
2026,일산선,삼송,4513533
2026,장항선,온양온천,1260340
2026,중앙선,회기,6255269
