year,line,total_passenger,daily_avg_passenger
2025,공항철도 1호선,91846603,251634
2025,과천선,75179933,205972
2025,분당선,266047041,728896
2025,서해선,8184978,22424
2025,수인선,43761889,119895
2025,신림선,33932949,92966
2025,안산선,84217050,230731
2025,우이신설선,33275181,91164
2025,일산선,80739064,221202
2025,장항선,13236463,36264
2025,중앙선,60637270,166129
2026,1호선,63206470,526720
2026,2호선,337920635,2816005
2026,3호선,127249066,1060408
2026,4호선,127891433,1065761
2026,5호선,158440965,1320341
2026,6호선,80818498,673487
2026,7호선,139341242,1161177
2026,8호선,50129570,417746
2026,9호선,69342942,577857
2026,9호선2~3단계,28010279,233418
2026,경강선,8139309,67827
2026,경부선,109596560,913304
2026,경원선,48350916,402924
2026,경의선,26344352,219536
2026,경인선,61847857,515398
2026,경춘선,8767176,73059
2026,공항철도 1호선,31357038,261308
2026,과천선,25239083,210325
2026,분당선,89227350,743561
2026,서해선,2781812,23181
2026,수인선,14641753,122014
2026,신림선,11338387,94486
2026,안산선,28010822,233423
2026,우이신설선,11125507,92712
2026,일산선,26853820,223781
2026,장항선,4487635,37396
2026,중앙선,19978486,166487
